VIN,Make,Model,BodyClass,Trim
1fmjk1h54aeb53209,ford,expedition,suv,
2hkyf18405h506548,honda,pilot,suv,
2g1wu583189210479,chevrolet,impala,sedan,
jtjbt20x960122290,lexus,gx,suv,470
2d4rn1ae1ar185551,dodge,grand caravan,cargo van,c/v
5tbrv54197s450867,toyota,tundra,pickup,sr5
wbakb8c56bcy65479,bmw,750li,sedan,
3gnal3ek3fs525196,chevrolet,captiva sport,suv,
salmf13437a253802,land rover,range rover,suv,hse / supercharged spec 2
2fahp71w95x146924,ford,crown victoria,sedan,
1g6dc67a850178937,cadillac,sts,sedan,
jf1sg67676h759326,subaru,forester,suv,l.l.bean
1ftfw1ev5akb82884,ford,f-150,pickup,
1ftex15n6ska07831,ford,f-150,pickup,
2c4gp44372r757461,chrysler,town and country,minivan,lx
1gyee63a940146377,cadillac,srx,suv,
2g1wu583089154034,chevrolet,impala,sedan,
1j4fa29p7yp780580,jeep,wrangler,suv,se
kmhdu45d77u018079,hyundai,elantra,sedan,
3gnal2ekxfs504727,chevrolet,captiva sport,suv,
4a4jn2as1be026784,mitsubishi,endeavor,suv,
1g1zh57n294217983,chevrolet,malibu,sedan,
1d8hb38n78f146498,dodge,durango,suv,sxt
1fmzu73e04uc11690,ford,explorer,suv,
kl5tj66606b630080,suzuki,swift,hatchback,
1b3ej46x2yn173095,dodge,stratus,sedan,base
2hkyf18535h518251,honda,pilot,suv,
wdbrf52h67f930075,mercedes-benz,c-class,sedan,
1fmyu92114ka18580,ford,escape,suv,
1lnhm81v67y608287,lincoln,town car,sedan,
4a32b2ff9ce022318,mitsubishi,galant,sedan,
jtjbt20x570141565,lexus,gx,suv,470
2gtec130771622740,gmc,sierra,pickup,1500 (1/2 ton)
2fahp71v38x145196,ford,crown victoria,sedan,
2fahp71w37x112836,ford,crown victoria,sedan,
5tbbt54117s455083,toyota,tundra,pickup,sr5
4a32b2ff4ce017317,mitsubishi,galant,sedan,
1j4gw68n1xc549726,jeep,grand cherokee,suv,limited
2b3la43g47h816419,dodge,charger,sedan,base
salae25455a327100,land rover,lr3,suv,se7
2a4gf68496r841007,chrysler,pacifica,suv,touring
3c4pddfg2et122299,dodge,journey,suv,r/t
2hjyk16406h549548,honda,ridgeline,pickup,
1b3ej46x5yn280769,dodge,stratus,sedan,base
salty16483a779970,land rover,discovery,suv,leather 5 seat
wp0ab29938s731338,porsche,911,coupe,"s (2wd), 4s (4wd)"
3gnal3ek2fs507658,chevrolet,captiva sport,suv,
jm3er29l470151350,mazda,cx-7,suv,
jm1fe173470211259,mazda,rx-8,coupe,
jtjht00w754001741,lexus,lx,suv,470
1g1aj15fx77100542,chevrolet,cobalt,coupe,
saltl19424a863682,land rover,discovery,suv,duragrain 5 seat
1b7gg22y2ws733415,dodge,dakota,pickup,sport/slt
1c4njcaaxed626828,jeep,compass,suv,sport
1g1ja6eh8c4137082,chevrolet,sonic,hatchback,
1j4fa49s9yp717917,jeep,wrangler,suv,sport
1c4njrab0dd177427,jeep,patriot,suv,sport
jm1fe173070209881,mazda,rx-8,coupe,
2gtec19r2v1506476,gmc,sierra,pickup,1500 (1/2 ton)
2hkyf18765h536597,honda,pilot,suv,with navi
1ftrf17w6ynb87541,ford,f-150,pickup,
4a32b2ff9ce022660,mitsubishi,galant,sedan,
1fmyu93153ka02749,ford,escape,suv,
4a32b2ff4ce015339,mitsubishi,galant,sedan,
1fmyu93134kb39402,ford,escape,suv,
4a32b2ff5ce018976,mitsubishi,galant,sedan,
1ftfw1ev1aka49457,ford,f-150,pickup,
5tfrv54157x007231,toyota,tundra,pickup,sr5
jf1sg65603h702206,subaru,forester,suv,2.5xs
1d8hb38n38f111263,dodge,durango,suv,sxt
1fmyu93173ka51032,ford,escape,suv,
1ftne1ew7ada94186,ford,e-150,cargo van,
jtjbt20x430016972,lexus,gx,suv,470
1b4hs28y5wf210602,dodge,durango,suv,base
1j4fa59s7yp704914,jeep,wrangler,suv,sahara
1g1yy26u275136315,chevrolet,corvette,coupe,
3gnal3ekxfs518486,chevrolet,captiva sport,suv,
1gbds14e998152661,chevrolet,colorado,incomplete,1/2 ton
3gnda23d97s609848,chevrolet,hhr,suv,lt
wp0ca29958s765938,porsche,911,convertible,"cabriolet (2wd), 4 cabriolet (4wd)"
3gnda33p37s528697,chevrolet,hhr,suv,lt
2c4rdgdg5er401116,dodge,grand caravan,minivan,crew
1gtek19t5ye190914,gmc,sierra,pickup,1500 (1/2 ton)
2b4fp25b7wr809342,dodge,caravan,minivan,base
1gcfc29uxyz135657,chevrolet,silverado,pickup,
4a32b2ff2ce020507,mitsubishi,galant,sedan,
jm1cr293870144854,mazda,mazda5,wagon,
1fdwe35l66da16782,ford,e-350,incomplete,srw/drw
1gbgsbfe4b8135918,chevrolet,colorado,incomplete,work truck
4a32b2ff7ce017103,mitsubishi,galant,sedan,
3gnda23p06s546826,chevrolet,hhr,suv,1/2 ton
2hkrl1854yh621311,honda,odyssey,minivan,lx
1g4ag55n3p6483259,buick,century,sedan,special
2a8gf68426r890189,chrysler,pacifica,suv,touring
wdbrf52h47f930026,mercedes-benz,c-class,sedan,
1ftrx18l7yna96070,ford,f-150,pickup,
4n2xn11t1yd830695,nissan,quest,minivan,
salsf25416a969722,land rover,range rover sport,suv,hse
1fmfk15537la08368,ford,expedition max,suv,
jtjbt20x660112686,lexus,gx,suv,470
2fabp7bv0bx169399,ford,crown victoria,sedan,
4a32b2ff9be024116,mitsubishi,galant,sedan,
1c3ej46x5yn167567,chrysler,cirrus,sedan,
2gcek13z161347205,chevrolet,silverado,pickup,
4a32b2ff9ce015479,mitsubishi,galant,sedan,
2fafp71w15x108725,ford,crown victoria,sedan,
jn1az34d63t105298,nissan,350z,coupe,
1c4gj45313b201324,chrysler,voyager,minivan,lx
1g1yy24u255122639,chevrolet,corvette,coupe,
1c4njdab4ed820012,jeep,compass,suv,sport
1fmyu92103ka78798,ford,escape,suv,
2c4rvabg2er135129,volkswagen,routan,minivan,se
2c4rvabg5er134962,volkswagen,routan,minivan,se
1fmfu15l33lb55468,ford,expedition,suv,
1b3ej46x5wn174321,dodge,stratus,sedan,base
2c4gm68415r386955,chrysler,pacifica,suv,touring
wdcyr71e75x163362,mercedes-benz,g-class,suv,
2c4gf48415r434372,chrysler,pacifica,suv,base
wbakc8c51cc435373,bmw,750lxi,sedan,750lxi / alpina b7 xdrive lwb (500 hp)
1j4fy29p6vp514877,jeep,wrangler,suv,se/tj
wbakc8c52cc435723,bmw,750lxi,sedan,750lxi / alpina b7 xdrive lwb (500 hp)
1c3cc4fd3an168407,chrysler,sebring,sedan,lx
jm3er293070148073,mazda,cx-7,suv,
1fmzu73k75ub63449,ford,explorer,suv,
1fmzu63kx5ub79817,ford,explorer,suv,
1ftww33f6x5c94916,ford,f-350,pickup,
3gnda13d77s619353,chevrolet,hhr,suv,ls
2lmhj5nk7ebl54756,lincoln,mkt,suv,
4t3zf13c8yu236176,toyota,sienna,minivan,le/xle
2c4gm68435r572853,chrysler,pacifica,suv,touring
2d8hn44h48r781023,dodge,caravan,minivan,se
jf1sg69654h735505,subaru,forester,suv,2.5xt
2d4rn1ae2ar190547,dodge,grand caravan,cargo van,c/v
kmhd25lh8eu160973,hyundai,unknown,hatchback,
2gtec13z261290350,gmc,sierra,pickup,1500 (1/2 ton)
1fmzu63k05ub19304,ford,explorer,suv,
3gnfk12y09g281567,chevrolet,avalanche,sut,ls
1b3el36t64n338884,dodge,stratus,sedan,se
salmf13416a208730,land rover,range rover,suv,hse / supercharged spec 2
jf1sg636x5h720184,subaru,forester,suv,2.5x
3gnda23p77s610488,chevrolet,hhr,suv,lt
2a4gm68476r602061,chrysler,pacifica,suv,touring
3gnal3ek1fs509210,chevrolet,captiva sport,suv,
4a32b2ff4ce016717,mitsubishi,galant,sedan,
3c4pdccb4et123974,dodge,journey,suv,sxt
jm3er293x70143379,mazda,cx-7,suv,
4a32b2ff0ce020439,mitsubishi,galant,sedan,
2c4gf48435r307980,chrysler,pacifica,suv,base
salty16493a825533,land rover,discovery,suv,leather 5 seat
1g1nd52mxwy181523,chevrolet,malibu,sedan,
5fnyf18474b011017,honda,pilot,suv,ex
2a8gf68426r629905,chrysler,pacifica,suv,touring
wbakc8c51cc437527,bmw,750lxi,sedan,750lxi / alpina b7 xdrive lwb (500 hp)
3gnda13d77s568873,chevrolet,hhr,suv,ls
jtjht00w053553717,lexus,lx,suv,470
4a32b2ff3ce022363,mitsubishi,galant,sedan,
jtjbt20xx30021089,lexus,gx,suv,470
km8sc83d01u122537,hyundai,santa fe,suv,
1ftfw1ev6ake72163,ford,f-150,pickup,
4a32b2ff7ce025122,mitsubishi,galant,sedan,
1fdxe45p06da38533,ford,e-450,incomplete,srw/drw
wbxpc73477we51663,bmw,x3,suv,3.0si sav
1gbdv13198d148766,chevrolet,uplander,cargo van,ewb
2g1wc583189183285,chevrolet,impala,sedan,
1yvhp81h795m48506,mazda,mazda6,sedan,sedan base grade
2d4fv48v25h648111,dodge,magnum,suv,base/sxt
3vwsf29m2ym098589,volkswagen,jetta,sedan,
jf1sg65614h755997,subaru,forester,suv,2.5xs
jh4kb16586c003858,acura,rl,sedan,
1g2za5eb2a4105634,pontiac,g6,sedan,
1gyee63a140150715,cadillac,srx,suv,
5gads13s352223998,buick,rainier,suv,
1fmcu93104kb21112,ford,escape,suv,
1ftfw1ev4aka18669,ford,f-150,pickup,
wbakb8c51cc963787,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
1c4gp64l6vb342985,chrysler,town and country,minivan,lxi
2fahp71v58x142767,ford,crown victoria,sedan,
2hjyk16476h560322,honda,ridgeline,pickup,
jn1az34d95m603198,nissan,350z,coupe,
2d4fv48v05h558276,dodge,magnum,suv,base/sxt
1j4fy29p0xp481698,jeep,wrangler,suv,se/tj
jf1sg69606h742722,subaru,forester,suv,2.5xt
1ftyr14v8yta61174,ford,ranger,pickup,
1fdse3fl2cda90404,ford,e-350,incomplete,
1g6dc67a560181988,cadillac,sts,sedan,v8
5y2sn67099z434736,pontiac,vibe,hatchback,
jm3er293070122976,mazda,cx-7,suv,
2c4rvabg1er135235,volkswagen,routan,minivan,se
1fdne1bw1cda09443,ford,e-150,van,
jf1sg65644h724663,subaru,forester,suv,2.5xs
3gnda23d07s633536,chevrolet,hhr,suv,lt
5nmsgdag1ah370379,hyundai,santa fe,suv,gls
1j4fa64s86p701921,jeep,wrangler,suv,"rubicon (u.s.) / ""tj"" rubicon (canada)"
5fnyf18685b032445,honda,pilot,suv,with res
1gbhg39c591144975,chevrolet,express,cargo van,
1fmfu18l5vla10382,ford,expedition,suv,
jm1cr293860120262,mazda,mazda5,wagon,
4a32b2ff2ce020765,mitsubishi,galant,sedan,
1gyee63a580105251,cadillac,srx,suv,
4a32b2ff5ce016046,mitsubishi,galant,sedan,
5tfrv54107x009050,toyota,tundra,pickup,sr5
1ftfw1evxakc55084,ford,f-150,pickup,
jm3lw28g8y0133939,mazda,mpv,minivan,
3gtec23j19g104227,gmc,sierra,pickup,sle
4b3ag42h81e009155,dodge,stratus,coupe,se
2hges16443h945650,honda,civic,sedan,dx-vp
3vwf17at7em641706,volkswagen,beetle,hatchback,
3vwdk7aj2bm310997,volkswagen,jetta,sedan,
3gnda33p17s622965,chevrolet,hhr,suv,lt
1fmzu73e64ub92918,ford,explorer,suv,
jn1az34dx5m607244,nissan,350z,coupe,
2hkyf18785h550811,honda,pilot,suv,with navi
4a32b2ff5ce025216,mitsubishi,galant,sedan,
2d4fv47vx6h156557,dodge,magnum,suv,base/sxt
5tbbv54197s489721,toyota,tundra,pickup,sr5
1j4ff28s9yl208473,jeep,cherokee,suv,se
2hkyf18685h512051,honda,pilot,suv,with res
2fabp7bv1ax126463,ford,crown victoria,sedan,
jm1fe173550147407,mazda,rx-8,coupe,
4a32b2ff1ce017145,mitsubishi,galant,sedan,
1ftfw1ev3ake64828,ford,f-150,pickup,
salwr2vf6ea307871,land rover,range rover sport,suv,hse
1d3hv18p19s804666,dodge,ram,pickup,1500
1fmzu63k35za37649,ford,explorer,suv,
wbahl83508dt12627,bmw,750i,sedan,
1g1yy22p8t5101224,chevrolet,corvette,coupe,
3gnda13d37s540343,chevrolet,hhr,suv,ls
1c4njdab3fd129572,jeep,compass,suv,sport
salme15486a208160,land rover,range rover,suv,hse spec 1
2hkyf18735h571050,honda,pilot,suv,with navi
wbakc8c58cc437203,bmw,750lxi,sedan,750lxi / alpina b7 xdrive lwb (500 hp)
1gyee637080110877,cadillac,srx,suv,
2c4rdgdg9er280624,dodge,grand caravan,minivan,crew
2c4rdgdgxer385110,dodge,grand caravan,minivan,crew
1gtdm19w0yb528639,gmc,safari,cargo van,1/2 ton
2d8hn44h48r732694,dodge,caravan,minivan,se
wdcyr49e64x144691,mercedes-benz,g-class,suv,
1fmyu93193kb23834,ford,escape,suv,
1fmcu93154da12634,ford,escape,suv,
2hkyf18764h538364,honda,pilot,suv,ex-l( with navi)
1c3el46r64n416397,chrysler,sebring,sedan,lx
jtjbt20x160122574,lexus,gx,suv,470
2c4gm68495r496278,chrysler,pacifica,suv,touring
wbakc8c51cc435602,bmw,750lxi,sedan,750lxi / alpina b7 xdrive lwb (500 hp)
1g6dc67a150170047,cadillac,sts,sedan,
3vwrm31k58m008985,volkswagen,jetta,sedan,
4a32b2ff3ce019236,mitsubishi,galant,sedan,
wdbrf52hx7f905096,mercedes-benz,c-class,sedan,
2c8gf68464r175791,chrysler,pacifica,suv,touring
2fabp7bv8ax114763,ford,crown victoria,sedan,
jtjbt20x930023495,lexus,gx,suv,470
1gbdv13w48d208464,chevrolet,uplander,cargo van,ewb
wbakb8c56cdx20678,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
jm3er293070111704,mazda,cx-7,suv,
4a32b2ff1ae013545,mitsubishi,galant,sedan,
2a4gm484x6r643210,chrysler,pacifica,suv,base
salsk25457a110310,land rover,range rover sport,suv,hse spec 3
1ftfx1evxake18488,ford,f-150,pickup,
knaht8a30e7048143,unknown,unknown,wagon,
1g6dc67a350202674,cadillac,sts,sedan,
jm1fe173050152224,mazda,rx-8,coupe,
1gndx03e5yd250270,chevrolet,venture,minivan,apv
1ftns24l9yhb33627,ford,e-250,cargo van,extended van
1fdss3bl1bdb21543,ford,e-350,van,
2d8hn44h38r752628,dodge,caravan,minivan,se
2hjyk16416h537635,honda,ridgeline,pickup,
2g1wu583581258145,chevrolet,impala,sedan,
jh4kb16575c002408,acura,rl,sedan,
2a8gf68486r604779,chrysler,pacifica,suv,touring
4a32b2ff2ce019339,mitsubishi,galant,sedan,
5fnyf18455b017187,honda,pilot,suv,
2hkyf18566h543470,honda,pilot,suv,ex-l
3gnda13d47s517251,chevrolet,hhr,suv,ls
2c4rdgdg1er307847,dodge,grand caravan,minivan,crew
1d4gp24303b119611,dodge,caravan,van,
jm1cr293060117873,mazda,mazda5,wagon,
jn1az34d56m304552,nissan,350z,coupe,
1g6dc67a550148956,cadillac,sts,sedan,
jn1az34d43t112637,nissan,350z,coupe,
2c4gm68485r527925,chrysler,pacifica,suv,touring
2gcec13z961262383,chevrolet,silverado,pickup,
1lnhm83v56y623908,lincoln,town car,sedan,
5yfbu4eexbp001240,toyota,corolla,sedan,
2c8gm48l05r554840,chrysler,pacifica,suv,base
jn1az34d83t111376,nissan,350z,coupe,
1gyee637840175650,cadillac,srx,suv,
2d8hn44h48r741816,dodge,caravan,minivan,se
1j4fa44s96p774803,jeep,wrangler,suv,sport/unlimited
2mefm75v37x611405,mercury,grand marquis,sedan,
3vwf17at2em641094,volkswagen,beetle,hatchback,
2hjyk16556h535928,honda,ridgeline,pickup,
salag25475a311930,land rover,lr3,suv,hse7
salaa25435a302059,land rover,lr3,suv,standard
3gnda23p86s667734,chevrolet,hhr,suv,1/2 ton
1gbhc24u65e307920,chevrolet,silverado,incomplete,
3gnal2ekxfs502217,chevrolet,captiva sport,suv,
1fmfk18557la96075,ford,expedition max,suv,
jtjbt20x050090294,lexus,gx,suv,470
2g1wc583181278380,chevrolet,impala,sedan,
2a8gm68476r815428,chrysler,pacifica,suv,touring
2hkyf18414h569494,honda,pilot,suv,ex
1g1yy22g445125487,chevrolet,corvette,coupe,
1gyee63a850169408,cadillac,srx,suv,
5yfbu4ee4bp001217,toyota,corolla,sedan,
1gdgg31v061903575,gmc,savana,incomplete,3500 (1 ton)
2c4gm68485r273844,chrysler,pacifica,suv,touring
4a32b2ff3ce015185,mitsubishi,galant,sedan,
1gyee637450176277,cadillac,srx,suv,
salmf15487a242551,land rover,range rover,suv,hse / supercharged spec 2
jn1bz34d37m501337,nissan,350z,coupe,
1hgcm82553a801077,honda,unknown,unknown,
4a32b2ff2ce022421,mitsubishi,galant,sedan,
3gnal4ek4fs501897,chevrolet,captiva sport,suv,
jm3er293x70164362,mazda,cx-7,suv,
1g3aj55m3s6338647,oldsmobile,cutlass ciera,sedan,
1gbfg15t941158212,chevrolet,express,van,
3gnal3ek5fs505130,chevrolet,captiva sport,suv,
2c4gm48l85r442563,chrysler,pacifica,suv,base
2c4rvabg8er134857,volkswagen,routan,minivan,se
3gnda13d16s568219,chevrolet,hhr,suv,1/2 ton
1j4gw58nxyc392578,jeep,grand cherokee,suv,limited
wp0aa29933s621496,porsche,911,coupe,"carrera (2wd), carrera 4s (4wd)"
5tfrv54157x030542,toyota,tundra,pickup,sr5
3gnal3ekxfs522828,chevrolet,captiva sport,suv,
wbakb8c54cc965033,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
2fmda5342yba43027,ford,windstar,minivan,
salae25437a421351,land rover,lr3,suv,v6/v8 se
2g4wj582x61283963,buick,allure,sedan,
1g1jc6eh4c4110682,chevrolet,sonic,hatchback,
2fahp71v88x119161,ford,crown victoria,sedan,
1g3nl52e01c178459,oldsmobile,alero,sedan,
wbakc8c50cc435297,bmw,750lxi,sedan,750lxi / alpina b7 xdrive lwb (500 hp)
4a32b2ff6be006589,mitsubishi,galant,sedan,
1gyee63a350158994,cadillac,srx,suv,
1gyee637440176701,cadillac,srx,suv,
3gnda23p26s629514,chevrolet,hhr,suv,1/2 ton
jm3er293370115388,mazda,cx-7,suv,
2c4gm68485r417862,chrysler,pacifica,suv,touring
3gnal3ek9fs518754,chevrolet,captiva sport,suv,
jm3er29l070106180,mazda,cx-7,suv,
3gtec23j29g155378,gmc,sierra,pickup,sle
2a4gm48476r606146,chrysler,pacifica,suv,base
1g2nf52e0ym880796,pontiac,grand am,sedan,
jh4kb16585c002871,acura,rl,sedan,
2b4fp25b6yr510928,dodge,caravan,minivan,base
2a4rr4dexar186397,chrysler,town and country,minivan,lx
1c4njrab7ed820079,jeep,patriot,suv,sport
2c4gm684x5r564197,chrysler,pacifica,suv,touring
kndjf722367287098,kia,sportage,suv,
wbakc6c53cc396418,bmw,750xi,sedan,750xi / alpina b7 xdrive swb (500 hp)
jm3lw28g1y0154079,mazda,mpv,minivan,
3gnda33p67s549155,chevrolet,hhr,suv,lt
1l1fm81w63y651555,lincoln,town car,limousine,
2c8gf68434r325887,chrysler,pacifica,suv,touring
2c4rdgdg0er204614,dodge,grand caravan,minivan,crew
1g6el5787fe612281,cadillac,eldorado,coupe,
wbakc8c53cc437366,bmw,750lxi,sedan,750lxi / alpina b7 xdrive lwb (500 hp)
1gndx03e7wd120522,chevrolet,venture,minivan,
5tfdv54107x032550,toyota,tundra,pickup,sr5
5tbrv54117s456632,toyota,tundra,pickup,sr5
1g3aj55m9t6407634,oldsmobile,ciera,sedan,
jn1bz34d97m502489,nissan,350z,coupe,
1gnel19w7xb171084,chevrolet,astro van,minivan,1500 (1/2 ton)
jf1sg63676h706793,subaru,forester,suv,2.5x
jtjbt20xx60123058,lexus,gx,suv,470
1p4gp44g4xb639498,plymouth,grand voyager,minivan,se/expresso
4a32b2ff8ce015649,mitsubishi,galant,sedan,
4a32b2ff8ce006336,mitsubishi,galant,sedan,
jtjbt20x550078853,lexus,gx,suv,470
1j4fy19s6wp727926,jeep,wrangler,suv,sport/tj
2c4rvabg7er135238,volkswagen,routan,minivan,se
2d4fv48v65h130129,dodge,magnum,suv,base/sxt
4a32b2ff8ce024707,mitsubishi,galant,sedan,
1c4njrab5ed805161,jeep,patriot,suv,sport
1fmzu73kx2ud50003,ford,explorer,suv,
jm3er29l470136251,mazda,cx-7,suv,
wbakb8c52cdx20810,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
salag25465a349696,land rover,lr3,suv,hse7
1fmpu18l8wlc33120,ford,expedition,suv,
salsf25476a913378,land rover,range rover sport,suv,hse
1fmpu18l2wla19773,ford,expedition,suv,
3gnal3ek2fs519924,chevrolet,captiva sport,suv,
wdzpe7cc8a5493610,mercedes-benz,sprinter,van,
2fahp71v89x116598,ford,crown victoria,sedan,
wbakb8c55cc963355,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
1c4njrab7ed804478,jeep,patriot,suv,sport
2c4gm68455r531589,chrysler,pacifica,suv,touring
1gyee637040181507,cadillac,srx,suv,
4a32b2ff1be028385,mitsubishi,galant,sedan,
3vwf17at8em638104,volkswagen,beetle,hatchback,
jm1cr293870141730,mazda,mazda5,wagon,
3gnda23d66s614276,chevrolet,hhr,suv,1/2 ton
jtjbt20x640037114,lexus,gx,suv,470
2hkrl1867yh529375,honda,odyssey,minivan,ex
1g1yy22g345119812,chevrolet,corvette,coupe,
jh4kb16555c020325,acura,rl,sedan,
5fnyf18455b024009,honda,pilot,suv,
2a8gm48486r606333,chrysler,pacifica,suv,base
4a32b2ff1be023610,mitsubishi,galant,sedan,
jm1fe173770212082,mazda,rx-8,coupe,
1gndx03e2wd340442,chevrolet,venture,minivan,
jtjbt20x550070154,lexus,gx,suv,470
salae25417a421297,land rover,lr3,suv,v6/v8 se
1g2wj52k6xf331891,pontiac,grand prix,sedan,
1fmzu73e34uc36924,ford,explorer,suv,
4a32b2ffxbe022097,mitsubishi,galant,sedan,
wdbrf61j54a632880,mercedes-benz,c-class,sedan,
wbakc8c58bc431707,bmw,750lxi,sedan,
jf1sg63617h731805,subaru,forester,suv,2.5x
jm3er293570133763,mazda,cx-7,suv,
jf1sg65687h702038,subaru,forester,suv,2.5xs
jtjbt20x750094651,lexus,gx,suv,470
2gtek19t8y1390252,gmc,sierra,pickup,1500 (1/2 ton)
2a4gf48476r842175,chrysler,pacifica,suv,base
3gnal2ek9fs528923,chevrolet,captiva sport,suv,
1c3cdfbh3ed871759,dodge,dart,sedan,sxt
jtjbt20x660122084,lexus,gx,suv,470
salsf25496a966986,land rover,range rover sport,suv,hse
wd3pf4cc3c5616772,mercedes-benz,sprinter,cargo van,high roof
1b3el46t35n664360,dodge,stratus,sedan,sxt
3c4pddfg3ct316496,dodge,journey,suv,r/t
wbakb8c58cc962863,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
jtmzf4dv8cd032369,toyota,rav4,suv,standard
1fmcu94114ka51361,ford,escape,suv,
2b4gp25g8yr880553,dodge,caravan,minivan,base
wbakb8c56cc448106,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
2hkyf18704h505442,honda,pilot,suv,ex-l( with navi)
1gyee63a460158603,cadillac,srx,suv,
1ftfw1ev6akc53168,ford,f-150,pickup,
3b7hf12z1wm258228,dodge,ram,pickup,1500
wbahl83548dt13618,bmw,750i,sedan,
2gcec19k6p1219163,chevrolet,gmt-400,pickup,
jtjbt20x030022395,lexus,gx,suv,470
2c4gm68485r572847,chrysler,pacifica,suv,touring
1ftyr10u8wud12747,ford,ranger,pickup,
3d6ws28d57g770072,dodge,ram,pickup,2500
2a8gf68466r662129,chrysler,pacifica,suv,touring
salmf13497a242822,land rover,range rover,suv,hse / supercharged spec 2
1ftrx17lxyka83607,ford,f-150,pickup,
1ftex07l2vkb97749,ford,f-150,pickup,
2fafp71w04x167733,ford,crown victoria,sedan,
1fmru17l4ylc20992,ford,expedition,suv,
1gb3cvbk3af148887,chevrolet,silverado,incomplete,work truck/fleet/base
1gyee53a780170631,cadillac,srx,suv,
jf1sg67665h727689,subaru,forester,suv,ll bean
2cndl937986304996,chevrolet,equinox,suv,
1g6dc67a760198100,cadillac,sts,sedan,v8
jf1sg63687h713849,subaru,forester,suv,2.5x
2c4rdgdgxer350633,dodge,grand caravan,minivan,crew
kndjj741785008723,unknown,unknown,suv,
1gbgg25c291158117,chevrolet,express,cargo van,
2hkyf18625h514040,honda,pilot,suv,with res
2a4gm68446r778145,chrysler,pacifica,suv,touring
4a32b2ff0ce020571,mitsubishi,galant,sedan,
1g2wj52k4vf277794,pontiac,grand prix,sedan,
1gmdu33177d118900,pontiac,montana,minivan,
2c4gm68485r498359,chrysler,pacifica,suv,touring
5tfrt54167x002819,toyota,tundra,pickup,sr5
2c3hh46r72h184686,chrysler,intrepid,sedan,base/se
jtjbt20x960117249,lexus,gx,suv,470
wbaka8c58cdx01097,bmw,750i,sedan,750i / alpina b7 swb (500 hp)
salmf11443a133892,land rover,range rover,suv,feature specification 3
1gndx03e6yd157970,chevrolet,venture,minivan,apv
1fdne1bw5ada89178,ford,e-150,van,
jtjbt20x060112666,lexus,gx,suv,470
4a32b2ff2ce017686,mitsubishi,galant,sedan,
1g6dc67a670186103,cadillac,sts,sedan,v8
1c4gj45323b128027,chrysler,voyager,minivan,lx
salsf25406a944682,land rover,range rover sport,suv,hse
2g1wb5e34f1108017,chevrolet,impala,sedan,
1gyee63ax60183733,cadillac,srx,suv,
1gndx03e5yd191172,chevrolet,venture,minivan,apv
1j4fy19s7xp455520,jeep,wrangler,suv,sport/tj
2a4rr4de6ar214387,chrysler,town and country,minivan,lx
1g1zd5e07af175726,chevrolet,malibu,sedan,
3gnda33p67s576906,chevrolet,hhr,suv,lt
2c8gp44353r111982,chrysler,town and country,minivan,lx
4a32b2ff7ce017182,mitsubishi,galant,sedan,
1p4gp45g4xb595159,plymouth,voyager,minivan,se/expresso
1gyee637150202009,cadillac,srx,suv,
4f2yz94125km54486,mazda,tribute,suv,
3c4pddfg6dt606541,dodge,journey,suv,r/t
2c4gp44303r144244,chrysler,town and country,minivan,lx
jm1cr29l070145657,mazda,mazda5,wagon,
wbaka8c52cds99898,bmw,750i,sedan,750i / alpina b7 swb (500 hp)
3gnda23p46s673479,chevrolet,hhr,suv,1/2 ton
1g1zd5e04af325775,chevrolet,malibu,sedan,
2gtek13z261275172,gmc,sierra,pickup,1500 (1/2 ton)
4n2dn11w1td842450,nissan,quest,minivan,
2g1ws583681242784,chevrolet,impala,sedan,
2c4gm68485r271074,chrysler,pacifica,suv,touring
1b7gg2an4ys666598,dodge,dakota,pickup,base
1fdnf20538ec76386,ford,f-250,pickup,
wp0ca29954s653666,porsche,911,convertible,carrera (2wd)/carrera 4 (4wd)/carrera 4s (4wd)
1g1yy26u165123750,chevrolet,corvette,coupe,
1g1yy22g1w5105541,chevrolet,corvette,coupe,
wdbpj74j43a038349,mercedes-benz,cl-class,coupe,amg
3gnda23d46s548133,chevrolet,hhr,suv,1/2 ton
2a4rr4de7ar167810,chrysler,town and country,minivan,lx
2a8gf684x6r657287,chrysler,pacifica,suv,touring
2b4gp44rx2r770531,dodge,grand caravan,minivan,sport
jf1sg69616h748710,subaru,forester,suv,2.5xt
jf1sg67657h728092,subaru,forester,suv,l.l.bean
saltw19464a838596,land rover,discovery,suv,leather 7 seat
2c4rvabg5er135366,volkswagen,routan,minivan,se
2t1kr30e47c683509,toyota,corolla matrix,wagon,
1fdnf20598ed15630,ford,f-250,pickup,
2g1ws581969404145,chevrolet,impala,sedan,
jm3er293570139322,mazda,cx-7,suv,
1fmfu15l44la73086,ford,expedition,suv,
1gyde63a840155972,cadillac,srx,suv,
1b4gp44r7tb447540,dodge,caravan,minivan,se/sport
jf1sg65673h732769,subaru,forester,suv,2.5xs
